ebs,mufredat,ad,sz,hoca,yy
BİL475,BİL475,WEB PROGRAMLAMA LABORATUVARI,S,Öğr.Gör. İsmail İŞERİ,7
BİL476,BİL476,WEB PROGRAMLAMA LABORATUVARI,S,Öğr.Gör. İsmail İŞERİ,8
BİL492,BİL492,BİTİRME PROJESİ,Z,Bilgisayar Mühendisliği Bölümü Öğretim Üyeleri,8
LABSEÇ-I,LABSEÇ-I,SEÇMELİ LABORATUVAR I,Z,Generik,7
LABSEÇ-II,LABSEÇ-II,SEÇMELİ LABORATUVAR II,Z,Generik,8
TDİ201,TDİ201,TÜRK DİLİ - 1,Z,UZEM,3
TDİ202,TDİ202,TÜRK DİLİ - 2,Z,UZEM,4
TEKSEÇ-I,TEKSEÇ-I,TEKNİK SEÇMELİ  I,Z,Generik,5
TEKSEÇ-II,TEKSEÇ-II,TEKNİK SEÇMELİ II,Z,Generik,6
TEKSEÇ-III,TEKSEÇ-III,TEKNİK SEÇMELİ III,Z,Generik,7
TEKSEÇ-IV,TEKSEÇ-IV,TEKNİK SEÇMELİ IV,Z,Generik,7
TEKSEÇ-V,TEKSEÇ-V,TEKNİK SEÇMELİ V,Z,Generik,8
TEKSEÇ-VI,TEKSEÇ-VI,TEKNİK SEÇMELİ VI,Z,Generik,8
TIT301,TIT301,ATATÜRK İLKELERİ VE İNKILAP TARİHİ - 1,Z,UZEM,5
TIT302,TIT302,ATATÜRK İLKELERİ VE İNKILAP TARİHİ - 2,Z,UZEM,6
YD101,YD101,YABANCI DİL I,Z,Generik,3
YD102,YD102,YABANCI DİL II,Z,Generik,4
YDA101,YDA101,ALMANCA I,S,Yabancı Diller Yüksek Okulu,3
YDA102,YDA102,ALMANCA II,S,Yabancı Diller Yüksek Okulu,4
YDF101,YDF101,FRANSIZCA I,S,Yabancı Diller Yüksek Okulu,3
YDF102,YDF102,FRANSIZCA II,S,Yabancı Diller Yüksek Okulu,4
YDİ101,YDİ101,İNGİLİZCE I,S,Yabancı Diller Yüksek Okulu,3
YDİ102,YDİ102,İNGİLİZCE II,S,Yabancı Diller Yüksek Okulu,4
